образец,,Правду говорить легко и приятно.Правду говорить легко и приятно.Правду говорить легко и приятно.Правду говорить легко и приятно.
,,
,1,'Археологи выяснили, что когда-то на Земле было всего около 26000 человек и это число держалось на протяжении миллиона лет.'
,2,"Саркофаг, в котором было обнаружено тело фараона Тутанхамона, изготовлен из 110 килограмм чистого золота."
,3,"Атмосфера Венеры состоит в основном из углекислого газа, а густые облака серной кислоты полностью покрывают планету."
,4,"В ядре нашей планеты так много золота, что ним можно покрыть всю планету 45 см слоем."
,5,"Год на Марсе почти в два раза дольше, чем год на Земле. Его продолжительность составляет около 687 дней."
,6,Сосны способны стерилизовать воздух.
,7,"87% людей, которым предложат новую ручку, первым делом пишут своё имя или роспись."
,8,Молоко способствует быстрому выведению алкоголя из печени и почек.
,9,"Если вы делаете кубики льда из «сырой» воды, они будут белыми, а если из кипячёной – прозрачными."
,10,Примерно 567 млн яиц потребляется ежедневно.
,11,"Некоторые люди умеют контролировать свои сны, это способность называется - сиолония."
,12,У древних славян татуировки носили в основном женщины.
,13,"Чайный пакетик был придуман случайно. Когда торговец решил, что выгодней продавать чай не в больших мешках, а маленьких."
,14,"Установлено, что комаров более всего привлекает синий цвет."
,15,"Никто не знает, кто изобрел пожарный гидрант, потому что патент на него сгорел во время пожара."
,17,Паутина содержит ДНК убитых пауком жертв.
,18,"Владельцы собак в Швеции платят налог по росту собак, а в Норвегии по их длине."
,19,"Когда человек счастлив - он наслаждается музыкой, когда грустный - вникает в тексты песен."
,20,В Вавилоне 4000 лет назад существовал обычай. После свадьбы отец невесты целый месяц поил новоиспечённого зятя медовым пивом.
,21,"На самом деле, за круглым столом короля Артура могло разместиться до 150 рыцарей."
,22,525 млн – примерное количество собак в мире.
,23,"Учёные разработали браслет, который бьет током, если владелец ругается матом."
,24,С 1930 года средняя продолжительность жизни кошек увеличилась вдвое.
,25,"В Древней Руси в сосуд с молоком запускали лягушку, чтобы оно не скисало."
,26,"Учёные подсчитали, что неандертальцы были в 100 раз менее чувствительны к боли, чем современный человек."
,27,"В алкоголе существуют все минералы, которые необходимы для поддержания жизни человека."
,28,"Человек чувствует себя более успешным и счастливым тогда, когда его мозг чем-то занят."
,29,Постоянное скрывание негативных эмоций снижает ваши мыслительные способности.
,30,Чтение книг делает нас более уверенными в себе.
,31,"Девушки произносят в три раза больше слов, чем мужчины."
,32,98% девушек во всём мире комплексуют из – за своей внешности.
,33,Умеренное потребление шоколада уменьшает вероятность инсульта.
,34,Ежи появились на Земле около 15 млн лет назад.
,35,87% россиян считают домашних животных членами семьи.
,36,Самые улыбчивые люди живут в Бразилии и на Кубе.
,37,150 тонн доширака съедается ежедневно.
,38,"Рафинированный сахар - единственный продукт, содержащий калории, но не имеющий никаких питательных веществ."
,39,"20-ти секундных объятий достаточно, чтобы вызвать доверие у мужчины."
,40,Декларация независимости США написана на бумаге из конопли.
,41,"Чтобы взлететь на шарах, вам потребуется 80 шаров на 1 кг веса."
,42,"На самом деле, алкоголь не согревает нас, а лишь расширяет сосуды. А прилив крови даёт ощущение тепла."
,43,Красное вино защищает зубы от кариеса.
,44,Термометр изобрёл Галилео Галилей в 1607 году.
,45,"70% фруктов, которые мы едим, появились благодаря пчёлам."
,46,"Мужчины воспринимают комплименты с большей радостью, чем женщины."
,47,Соцсети забирают примерно 28% вашего дня.
,48,Рекомендуемая температура для сна колеблется от 18 до 21 градуса.
,49,"Китай за три года использовал больше цемента, чем США за весь 20-й век."
,50,"Ваше правое ухо лучше слышит речь, а левое музыку."
,51,"Стенки мыльного пузыря - самая тонкая материя, которую человек способен увидеть невооруженным взглядом"
,52,Просмотр фильма ужасов на первом свидании может усилить интерес пары друг к другу.
,53,"У человека меньше мускулов, чем у гусеницы."
,54,"Самки стрекоз иногда притворяются мёртвыми, чтобы не общаться с самцами."
,55,Большинство овощей и фруктов содержат небольшое количество спирта.
,56,Если бросить курить - то сон сократится на час.
,57,Пожилые женщины оказались наиболее внимательными водителями из всех.
,58,"Учёные выяснили, что ближайшими предками куриц являются динозавры."
,59,"Недостаток сна и чувство голода, являются самыми распространёнными причинами плохого настроения."
,60,"Лучшие идеи приходят к нам тогда, когда мы думаем о чём то другом."
,61,"Пётр I боролся с алкоголизмом: пьяниц награждали медалями, которые весили 7 кг и их нельзя было снимать."
,62,"Если вы совершите преступление в море, то будете считаться пиратом."
,63,"Знания за которые мы платим запоминаются лучше, чем бесплатные."
,64,"Дизайн флага США разработал 17-й школьник, и кстати, получил за это 4-ку."
,65,"Те, кто часто опаздывают, подвержены большей тревожности, чем остальные."
,66,"Люди становятся более честными, когда устали за день."
,67,"Врать проще всего по телефону, сложнее всего в мессенджерах"
,68,Ногти в среднем растут по 1 мм в неделю.
,69,В США можно быть оштрафованным на 500$ за мучение бабочек.
